params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",0,1.0,0.0010455012321472167,0.021068572998046875
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",1,0.9,0.0009994983673095703,0.020128488540649414
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",2,0.55,0.0010658025741577149,0.021485328674316406
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",3,0.9,0.0010143399238586425,0.02042675018310547
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",4,0.9,0.0010045289993286133,0.0202329158782959
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",5,0.9,0.0009950757026672362,0.020046710968017578
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",6,0.95,0.0010142922401428223,0.0204617977142334
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",7,0.9,0.0010166406631469727,0.02048039436340332
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",8,0.9,0.0013014912605285645,0.02623772621154785
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",9,0.85,0.0010177135467529298,0.020499467849731445
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",0,1.0,0.0015907764434814453,0.03197026252746582
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",1,0.9,0.001548624038696289,0.03118276596069336
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",2,0.65,0.0017304778099060058,0.03477931022644043
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",3,0.95,0.0015751004219055175,0.03166007995605469
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",4,0.9,0.0015520691871643067,0.031189680099487305
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",5,0.85,0.0015581130981445312,0.03132987022399902
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",6,0.95,0.0015923738479614257,0.03199577331542969
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",7,0.9,0.0015642404556274413,0.03143429756164551
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",8,0.9,0.0015931129455566406,0.03206634521484375
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",9,0.85,0.001569509506225586,0.03158736228942871
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",0,1.0,0.001015150547027588,0.020447731018066406
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",1,0.9,0.0010626912117004395,0.02139568328857422
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",2,0.65,0.0012022733688354492,0.024193763732910156
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",3,0.9,0.001084578037261963,0.02183389663696289
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",4,0.9,0.0010708212852478028,0.021560192108154297
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",5,0.9,0.0010553836822509766,0.021251916885375977
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",6,0.95,0.0010379910469055175,0.02090620994567871
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",7,0.9,0.0010823726654052735,0.02179741859436035
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",8,0.9,0.0010635972023010254,0.02147221565246582
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",9,0.85,0.0011169552803039552,0.022485017776489258
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",0,1.0,0.001262331008911133,0.02539372444152832
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",1,0.9,0.0012135505676269531,0.024417400360107422
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",2,0.65,0.0012668967247009277,0.025481700897216797
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",3,0.95,0.0012860774993896484,0.02586841583251953
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",4,0.9,0.001212608814239502,0.024400711059570312
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",5,0.9,0.0012071847915649414,0.024286508560180664
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",6,0.95,0.0011573076248168946,0.023291349411010742
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",7,0.9,0.0012213945388793944,0.02457404136657715
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",8,0.9,0.001151883602142334,0.02318572998046875
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",9,0.85,0.0012186050415039062,0.02452230453491211
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",0,1.0,0.0010275959968566895,0.02069234848022461
