params,folds,accuracies,efficiencies,total_times,Reduced Features
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",0,0.9494949494949495,0.009012677452780983,0.8925638198852539,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",1,0.9292929292929293,0.009015656480885516,0.8928673267364502,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",2,0.9797979797979798,0.010431646096585976,1.0330450534820557,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",3,0.9696969696969697,0.008962867235896564,0.8876774311065674,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",4,0.9696969696969697,0.00918739251416139,0.9098649024963379,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",5,0.9696969696969697,0.009143595743660976,0.9055566787719727,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",6,0.98989898989899,0.00884438283515699,0.875899076461792,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",7,0.9494949494949495,0.009126872727365204,0.9038774967193604,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",8,0.98989898989899,0.008871355442085652,0.8785946369171143,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",9,0.9494949494949495,0.00916556878523393,0.907721757888794,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",0,0.9292929292929293,0.009048141614355222,0.8960983753204346,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",1,0.9090909090909091,0.00908073993644329,0.8993077278137207,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",2,0.9090909090909091,0.008997570384632458,0.8910923004150391,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",3,0.9595959595959596,0.009003829474400992,0.8917100429534912,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",4,0.9696969696969697,0.009013886403555821,0.892709493637085,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",5,0.9696969696969697,0.009281905010493115,0.919241189956665,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",6,0.9595959595959596,0.009286550560382882,0.9197008609771729,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",7,0.9393939393939394,0.009124922029899828,0.9037017822265625,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",8,0.9595959595959596,0.009214487942782316,0.9125795364379883,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",9,0.9494949494949495,0.009196471686315055,0.9108109474182129,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",0,0.9292929292929293,0.009427181398025666,0.9336090087890625,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",1,0.9090909090909091,0.009233262803819444,0.9144055843353271,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",2,0.9090909090909091,0.008910169505109691,0.8824265003204346,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",3,0.9595959595959596,0.00904708920103131,0.8959712982177734,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",4,0.9696969696969697,0.009018813720857255,0.8931934833526611,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",5,0.9696969696969697,0.009110178610291144,0.902224063873291,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",6,0.9595959595959596,0.009042874731198705,0.89556884765625,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",7,0.9393939393939394,0.00940792729156186,0.9316976070404053,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",8,0.9595959595959596,0.008860975804955068,0.8775432109832764,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",9,0.9494949494949495,0.009504142433705957,0.9412655830383301,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",0,0.9292929292929293,0.009686877029110688,0.9593417644500732,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",1,0.9090909090909091,0.009111842723807903,0.9024136066436768,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",2,0.9090909090909091,0.008878358686813201,0.8792603015899658,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",3,0.9595959595959596,0.009043575537325156,0.8956296443939209,2.0
