0,1,2,3,4,5,6,7,8,9
1.0,0.25973904181124907,0.9,0.9,0.9,0.9,0.9,0.9,0.8648163884920332,0.9
0.25973904181124907,1.0,0.007982930470103344,0.03651308187967062,0.25973904181124907,0.33597722243625405,0.3093564216912368,0.0028552910927541753,0.9,0.8105409794715335
0.9,0.007982930470103344,1.0,0.9,0.9,0.9,0.9,0.9,0.15921489541589107,0.5391689052317418
0.9,0.03651308187967062,0.9,1.0,0.9,0.9,0.9,0.9,0.3946908520309458,0.8105409794715335
0.9,0.25973904181124907,0.9,0.9,1.0,0.9,0.9,0.9,0.8648163884920332,0.9
0.9,0.33597722243625405,0.9,0.9,0.9,1.0,0.9,0.8376758005925248,0.9,0.9
0.9,0.3093564216912368,0.9,0.9,0.9,0.9,1.0,0.8648163884920335,0.9,0.9
0.9,0.0028552910927541753,0.9,0.9,0.9,0.8376758005925248,0.8648163884920335,1.0,0.08051108859302736,0.3648340964824913
0.8648163884920332,0.9,0.15921489541589107,0.3946908520309458,0.8648163884920332,0.9,0.9,0.08051108859302736,1.0,0.9
0.9,0.8105409794715335,0.5391689052317418,0.8105409794715335,0.9,0.9,0.9,0.3648340964824913,0.9,1.0
