params,folds,accuracies,efficiencies,total_times,Reduced Features
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",8,0.9595959595959596,0.01082788332544192,1.072331190109253,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",9,0.9494949494949495,0.011694686581390073,1.1581788063049316,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",0,0.9292929292929293,0.010933168006665779,1.0827631950378418,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",1,0.9090909090909091,0.011416095675844135,1.1305809020996094,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",2,0.9090909090909091,0.011396827119769472,1.1286635398864746,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",3,0.9595959595959596,0.012153760351315893,1.2035975456237793,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",4,0.9696969696969697,0.011269781324598525,1.1160788536071777,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",5,0.9696969696969697,0.010630747284552064,1.0528154373168945,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",6,0.9595959595959596,0.010786008353185172,1.0682365894317627,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",7,0.9393939393939394,0.010805744113344135,1.0701375007629395,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",8,0.9595959595959596,0.010722564928459398,1.0618836879730225,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2S', 'k_fs': '80%'}",9,0.9494949494949495,0.011068936550255978,1.0961854457855225,2.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",0,0.9494949494949495,0.013134778147996073,1.300724983215332,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",1,0.9292929292929293,0.013902827946826665,1.376765489578247,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",2,0.9797979797979798,0.011260615454779731,1.1151628494262695,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",3,0.9696969696969697,0.011032398300941545,1.0925745964050293,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",4,0.9696969696969697,0.012888441182146168,1.27632474899292,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",5,0.9696969696969697,0.010869416323575106,1.076451301574707,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",6,0.98989898989899,0.011231347767993657,1.1123063564300537,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",7,0.9494949494949495,0.011136341576624399,1.1028530597686768,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",8,0.98989898989899,0.012223147382639875,1.2104723453521729,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'VT', 'k_fs': '80%'}",9,0.9494949494949495,0.011341090154166173,1.123138427734375,0.0
