group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'k': 5},0.638,0.058,0.058,0.058,0.076,0.058,0.068,3.678
{'k': 7},0.634,0.052,0.056,0.054,0.071,0.054,0.059,4.083
{'k': 2},0.602,0.029,0.031,0.03,0.041,0.03,0.091,3.068
{'k': 3},0.602,0.034,0.044,0.038,0.041,0.038,0.103,2.67
