group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'k': 7},0.761,0.434,0.46,0.447,0.42,0.447,0.055,3.394
{'k': 5},0.732,0.405,0.45,0.426,0.393,0.426,0.053,3.476
{'k': 2},0.626,0.294,0.466,0.361,0.349,0.36,0.131,2.402
{'k': 3},0.521,0.173,0.292,0.217,0.162,0.217,0.125,2.39
