group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'n_clusters': 3},0.603,0.209,0.215,0.212,0.224,0.212,0.051,5.996
{'n_clusters': 2},0.582,0.198,0.314,0.243,0.253,0.243,0.116,2.625
{'n_clusters': 5},0.547,0.131,0.147,0.139,0.15,0.138,0.035,6.587
{'n_clusters': 7},0.545,0.138,0.218,0.169,0.184,0.168,0.1,2.845
