group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'k': 11},0.77,0.419,0.44,0.429,0.44,0.429,0.055,3.483
{'k': 9},0.745,0.414,0.444,0.428,0.397,0.428,0.054,3.431
{'k': 7},0.743,0.419,0.466,0.441,0.426,0.441,0.051,3.5
{'k': 15},0.737,0.349,0.362,0.355,0.376,0.355,0.052,3.942
{'k': 13},0.715,0.294,0.3,0.297,0.337,0.296,0.045,3.875
{'k': 3},0.521,0.173,0.292,0.217,0.162,0.217,0.125,2.39
