0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.0,0.9,0.9,0.9,0.9,0.9,0.8183238127185537,0.8760743969136919,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.4266242795417494,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.3578858312499861
0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011444218157588115,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00809887631416839
0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009096915807733974,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006392992190864533
0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.06699164379468803,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.050009322500268905
0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.04126578306991102,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.03042472883327052
0.8183238127185537,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.8760743969136919,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.10395207544171214,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.08058421561262141
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0034734050418047113,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006392992190864422,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002375725347473545,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007198949329939808,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.001,0.001,0.001,0.001,0.001,0.0034734050418047113,0.001,0.001,0.05520257582297028,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0020926654373518705,0.001
0.4266242795417494,0.011444218157588115,0.009096915807733974,0.001,0.06699164379468803,0.04126578306991102,0.001,0.001,0.10395207544171214,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9,0.06699164379468803,0.49089583944356263,0.6835643703477565,0.022195190322416347,0.9,0.16945512748837854,0.001086258575783372,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.7220671562651809,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.06699164379468803,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.08749789522175588
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.49089583944356263,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.5488076832287746
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.6835643703477565,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.7413170356574467
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0034734050418047113,0.001,0.022195190322416347,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.030424728833270298
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.7413170356574461,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.16945512748837854,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.21123151493371117
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0034734050418047113,0.006392992190864422,0.002375725347473545,0.001,0.007198949329939808,0.001,0.001,0.001,0.05520257582297028,0.0020926654373518705,0.001086258575783372,0.7220671562651809,0.9,0.9,0.9,0.9,0.7413170356574461,0.9,1.0,0.001612789629173994
0.3578858312499861,0.00809887631416839,0.006392992190864533,0.001,0.050009322500268905,0.03042472883327052,0.001,0.001,0.08058421561262141,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.08749789522175588,0.5488076832287746,0.7413170356574467,0.030424728833270298,0.9,0.21123151493371117,0.001612789629173994,1.0
