0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.0,0.060861591803363146,0.9,0.04333915748038231,0.9,0.9,0.9,0.9,0.9,0.5391810409643434,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0013248088870175811,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.060861591803363146,1.0,0.9,0.9,0.5680562731253803,0.03374050007627627,0.11871509652321222,0.9,0.7028176671513833,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.07357667368890142,0.001,0.9,0.001,0.001,0.014350675923606615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.8471981788050045,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.25130038877484495,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.04333915748038231,0.9,0.8471981788050045,1.0,0.5006778418982315,0.023393874081298005,0.08749789522175588,0.9,0.635438088012364,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.09934265051879909,0.001,0.9,0.001,0.001,0.021045377947663257,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.5680562731253803,0.9,0.5006778418982315,1.0,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.05797459336920441,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.03374050007627627,0.9,0.023393874081298005,0.9,1.0,0.9,0.9,0.9,0.415216640310508,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.11871509652321222,0.9,0.08749789522175588,0.9,0.9,1.0,0.9,0.9,0.6835643703477559,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0034734050418047113,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.6835643703477559,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.7028176671513833,0.9,0.635438088012364,0.9,0.9,0.9,0.9,1.0,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1087258641516714,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.5391810409643434,0.9,0.9,0.9,0.9,0.415216640310508,0.6835643703477559,0.9,0.9,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0022307426431218413,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.5295556507253482,0.002375725347473545,0.41521664031050887,0.41521664031050887,0.050009322500268905,0.001,0.9,0.001,0.9,0.9,0.001,0.9,0.9,0.9,0.8471981788050045,0.06086159180338868,0.002875794155725697,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.5295556507253482,1.0,0.001,0.001,0.001,0.001,0.001,0.25130038877484495,0.001,0.6065589070742041,0.0022307426431218413,0.001,0.9,0.001,0.66431194641722,0.001,0.001,0.001,0.02464897827223045,0.002875794155725697
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002375725347473545,0.001,1.0,0.9,0.9,0.9,0.9,0.012115785225156439,0.001,0.0014157402142577213,0.5391810409643432,0.9,0.001,0.7894469455878476,0.001,0.9,0.9,0.9,0.1565291210522345,0.5006778418982315
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.41521664031050887,0.001,0.9,1.0,0.9,0.9,0.06386757177442359,0.6835643703477565,0.001,0.3251405194090312,0.9,0.2349675630774578,0.05520257582297028,0.9,0.2690707370419926,0.9,0.9,0.9,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.41521664031050887,0.001,0.9,0.9,1.0,0.9,0.06386757177442359,0.6835643703477565,0.001,0.3251405194090312,0.9,0.2349675630774578,0.05520257582297028,0.9,0.2690707370419926,0.9,0.9,0.9,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.050009322500268905,0.001,0.9,0.9,0.9,1.0,0.4704667404930002,0.16292344746328624,0.001,0.03374050007627638,0.9,0.7798198649989141,0.002534228678802153,0.9,0.024648978272230004,0.9,0.9,0.9,0.6643119464172196,0.9
0.001,0.07357667368890142,0.001,0.09934265051879909,0.001,0.001,0.001,0.001,0.001,0.0022307426431218413,0.001,0.001,0.9,0.06386757177442359,0.06386757177442359,0.4704667404930002,1.0,0.001,0.6161841038150201,0.001,0.001,0.9,0.001,0.0019569323526646976,0.001,0.006022316200243738,0.4266242795417473,0.9,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.25130038877484495,0.012115785225156439,0.6835643703477565,0.6835643703477565,0.16292344746328624,0.001,1.0,0.001,0.9,0.9,0.001,0.9,0.9,0.9,0.9,0.1889046763441673,0.014350675923606615,0.9,0.9
0.0013248088870175811,0.9,0.25130038877484495,0.9,0.05797459336920441,0.001,0.0034734050418047113,0.6835643703477559,0.1087258641516714,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.6161841038150201,0.001,1.0,0.001,0.001,0.28746311809310743,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.6065589070742041,0.0014157402142577213,0.3251405194090312,0.3251405194090312,0.03374050007627638,0.001,0.9,0.001,1.0,0.9,0.001,0.9,0.9,0.9,0.7701947577864086,0.04126578306991069,0.0017202714210977632,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.0022307426431218413,0.5391810409643432,0.9,0.9,0.9,0.001,0.9,0.001,0.9,1.0,0.002875794155725697,0.7605673450724828,0.9,0.9,0.9,0.9,0.5680562731253809,0.9,0.9
0.001,0.014350675923606615,0.001,0.021045377947663257,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.2349675630774578,0.2349675630774578,0.7798198649989141,0.9,0.001,0.28746311809310743,0.001,0.002875794155725697,1.0,0.001,0.013566433546556955,0.001,0.03550608648662268,0.7413170356574467,0.9,0.001,0.0022307426431218413
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.001,0.05520257582297028,0.05520257582297028,0.002534228678802153,0.001,0.9,0.001,0.9,0.7605673450724828,0.001,1.0,0.5103042267541968,0.9,0.3156820055801509,0.003260980928695978,0.001,0.9,0.7990713361131823
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.001,0.7894469455878476,0.9,0.9,0.9,0.0019569323526646976,0.9,0.001,0.9,0.9,0.013566433546556955,0.5103042267541968,1.0,0.8857010634605517,0.9,0.9,0.8183238127185537,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.66431194641722,0.001,0.2690707370419926,0.2690707370419926,0.024648978272230004,0.001,0.9,0.001,0.9,0.9,0.001,0.9,0.8857010634605517,1.0,0.7124423774761703,0.030424728833270298,0.0011603784454675692,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.8471981788050045,0.001,0.9,0.9,0.9,0.9,0.006022316200243738,0.9,0.001,0.7701947577864086,0.9,0.03550608648662268,0.3156820055801509,0.9,0.7124423774761703,1.0,0.9,0.9,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.06086159180338868,0.001,0.9,0.9,0.9,0.9,0.4266242795417473,0.1889046763441673,0.001,0.04126578306991069,0.9,0.7413170356574467,0.003260980928695978,0.9,0.030424728833270298,0.9,1.0,0.9,0.7028176671513833,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002875794155725697,0.001,0.9,0.9,0.9,0.9,0.9,0.014350675923606615,0.001,0.0017202714210977632,0.5680562731253809,0.9,0.001,0.8183238127185537,0.0011603784454675692,0.9,0.9,1.0,0.17506902925045686,0.5295556507253482
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.02464897827223045,0.1565291210522345,0.9,0.9,0.6643119464172196,0.001,0.9,0.001,0.9,0.9,0.001,0.9,0.9,0.9,0.9,0.7028176671513833,0.17506902925045686,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.002875794155725697,0.5006778418982315,0.9,0.9,0.9,0.001,0.9,0.001,0.9,0.9,0.0022307426431218413,0.7990713361131823,0.9,0.9,0.9,0.9,0.5295556507253482,0.9,1.0
