params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",0,0.9954462659380692,0.09096239325344455,99.87939238548279
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",1,0.991810737033667,0.09173309488444029,100.8175401687622
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",2,0.9954421148587056,0.09175600544799972,100.65924501419067
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",3,0.99,0.09302294839512218,102.32804369926453
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",4,0.9936247723132969,0.10160725581407112,111.56803369522095
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",5,0.9963570127504554,0.10416906453221222,114.3809142112732
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",6,0.9945553539019963,0.10304502220638434,113.55886149406433
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",7,0.9927272727272727,0.11060272736982865,121.66627645492554
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",8,0.994535519125683,0.10821540716133048,118.82375288009644
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",9,0.9927404718693285,0.11268506076071959,124.18244123458862
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",0,0.9963570127504554,0.12311155765651571,135.1798918247223
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",1,0.991810737033667,0.120536441690169,132.47302746772766
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",2,0.9954421148587056,0.11441342028684799,125.51498889923096
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",3,0.99,0.10686123522845181,117.55051589012146
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",4,0.994535519125683,0.10576167675532495,116.12953686714172
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",5,0.9954462659380692,0.10822927626104303,118.83883619308472
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",6,0.9945553539019963,0.12047255969523518,132.76446199417114
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",7,0.9927272727272727,0.12105625499378551,133.1654815673828
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",8,0.994535519125683,0.1285444152811186,141.14549350738525
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",9,0.9927404718693285,0.12053443342717719,132.8326485157013
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",0,0.9954462659380692,0.12206249766879612,134.02831530570984
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",1,0.991810737033667,0.12731450378515158,139.9222252368927
