group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'n_clusters': 7},0.639,0.24,0.278,0.257,0.243,0.257,0.051,4.287
{'n_clusters': 13},0.638,0.209,0.219,0.214,0.228,0.214,0.041,4.367
{'n_clusters': 11},0.62,0.204,0.223,0.213,0.222,0.213,0.049,5.102
{'n_clusters': 9},0.608,0.151,0.151,0.151,0.177,0.151,0.022,4.708
{'n_clusters': 15},0.608,0.195,0.224,0.208,0.215,0.208,0.048,4.723
{'n_clusters': 3},0.536,0.156,0.261,0.196,0.169,0.195,0.108,2.65
