group,accuracy,homogeneity,completeness,v_measure,adjusted_rand,adjusted_mutual_info,silhouette,davies
{'k': 7},0.645,0.074,0.095,0.083,0.083,0.083,0.087,3.264
{'k': 2},0.6,0.028,0.03,0.029,0.04,0.029,0.092,3.056
{'k': 5},0.577,0.021,0.032,0.025,0.022,0.025,0.058,2.706
{'k': 3},0.565,0.011,0.012,0.011,0.016,0.011,0.053,3.516
