params,folds,accuracies,efficiencies,total_times,Reduced Features
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",0,0.981081081081081,0.035519527100227974,13.143142938613892,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",1,0.981081081081081,0.035123908841932144,12.996717929840088,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",2,0.9891891891891892,0.03452300832078264,12.77442216873169,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",3,0.9891891891891892,0.03496241956143766,12.937024354934692,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",4,0.9864864864864865,0.03493635074512379,12.927428483963013,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",5,0.981081081081081,0.034979798342730545,12.943440675735474,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",6,0.9918918918918919,0.03549194400374954,13.132978200912476,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",7,0.9918918918918919,0.03914998737541405,14.486469268798828,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",8,0.9918918918918919,0.03541906266599088,13.105980634689331,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",9,0.9891891891891892,0.03499764558431265,12.950016498565674,0.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",0,0.5486486486486486,0.03627861254924052,13.424107313156128,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",1,0.5378378378378378,0.0367588184975289,13.601787567138672,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",2,0.4972972972972973,0.036840822889998154,13.632068634033203,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",3,0.5135135135135135,0.037093519520115206,13.725584506988525,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",4,0.5081081081081081,0.03661965228415824,13.550245523452759,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",5,0.5405405405405406,0.03705544149553454,13.711556196212769,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",6,0.5216216216216216,0.03676125358890843,13.602654933929443,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",7,0.5432432432432432,0.03739071407833615,13.835565567016602,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",8,0.5594594594594594,0.03660486324413403,13.544793128967285,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'CR', 'k_fs': '80%'}",9,0.527027027027027,0.03648524993174785,13.50057864189148,13.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",0,0.9837837837837838,0.03545655946473818,13.119884014129639,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",1,0.972972972972973,0.03640682439546327,13.471446514129639,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",2,0.9864864864864865,0.03615367348129685,13.37779450416565,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",3,0.9837837837837838,0.035000018815736514,12.950910329818726,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",4,0.9891891891891892,0.03411133675961881,12.622042894363403,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",5,0.9837837837837838,0.034763186686747785,12.86326789855957,2.0
"{'ds': 'pen-based', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'IG', 'k_fs': '80%'}",6,0.9891891891891892,0.03417660932283144,12.64618182182312,2.0
