0,1,2,3,4,5,6,7,8,9
1.0,0.8033695234444728,0.001,0.022948568349834275,0.20711482246247692,0.9,0.9,0.0854628453314542,0.9,0.001
0.8033695234444728,1.0,0.001,0.7300905868917615,0.9,0.9,0.8326823960962347,0.9,0.8326823960962347,0.001
0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.744745384526772
0.022948568349834275,0.7300905868917615,0.001,1.0,0.9,0.29342365429305595,0.026873575231468716,0.9,0.026873575231468716,0.26675793278462046
0.20711482246247692,0.9,0.001,0.9,1.0,0.7887146212584184,0.22989313930341027,0.9,0.22989313930341027,0.03390531269529529
0.9,0.9,0.001,0.29342365429305595,0.7887146212584184,1.0,0.9,0.5688786454438219,0.9,0.001
0.9,0.8326823960962347,0.001,0.026873575231468716,0.22989313930341027,0.9,1.0,0.09670250654993517,0.9,0.001
0.0854628453314542,0.9,0.001,0.9,0.9,0.5688786454438219,0.09670250654993517,1.0,0.09670250654993517,0.09670250654993517
0.9,0.8326823960962347,0.001,0.026873575231468716,0.22989313930341027,0.9,0.9,0.09670250654993517,1.0,0.001
0.001,0.001,0.744745384526772,0.26675793278462046,0.03390531269529529,0.001,0.001,0.09670250654993517,0.001,1.0
